time,tavg,tmin,tmax,Humidity,WindSpeed,Precipitation
01-01-1990,22.9,19.1,28.4,59.87548406,6.774222531,0
02-01-1990,21.7,,26.5,46.61843845,14.71632584,0.26
03-01-1990,21,16.4,26.5,51.55312682,10.04770865,0.01
04-01-1990,20.8,,27.4,49.96604013,11.58966614,1.84
05-01-1990,20.4,14.2,26.1,46.27299596,6.177111281,0
06-01-1990,20.4,17.1,24.2,56.94572175,13.81926309,4.11
07-01-1990,18.8,,20.5,57.59502071,13.01486272,2.9
08-01-1990,20,16.6,25.1,45.00409543,8.274855512,0
09-01-1990,21,15.5,,58.47119991,9.138834407,0
10-01-1990,21.2,15,27.7,49.37825061,6.670548137,0
11-01-1990,21.8,16,28.5,49.23660597,14.5811303,0.27
12-01-1990,21.1,13.2,,64.91139528,14.36241958,8.74
13-01-1990,18.8,11.2,27.2,61.2909363,9.85918637,2.63
14-01-1990,19.8,11.5,29,63.40833483,14.15889674,0
15-01-1990,21,11.5,30.3,49.9183951,5.700667731,0
16-01-1990,22.1,12.6,29.7,52.69374625,9.835829664,0.84
17-01-1990,23.8,,29,49.75469588,5.7175519,1.76
18-01-1990,20.1,13.8,,49.2064174,6.192889887,0
19-01-1990,21.3,12.2,30.7,48.91565063,10.93427731,0.6
20-01-1990,20.3,13,30.7,57.59383254,14.23558312,0
21-01-1990,23.8,,,57.19056448,5.076687706,0
22-01-1990,22.2,13.2,30.4,54.99194833,9.788762446,1.78
23-01-1990,20.7,14.7,,48.19358444,8.150530669,3.32
24-01-1990,21.5,14.5,29,55.57429642,5.192216949,3.52
25-01-1990,22.7,15.4,30.7,52.40220866,5.955096217,2.72
26-01-1990,22.7,14,30.4,62.88249218,5.428501164,0
27-01-1990,21.2,14.8,29.4,60.33532867,11.66472454,3.14
28-01-1990,19.2,14,29.7,61.56891381,7.987192406,1.93
29-01-1990,20.9,13.9,28.5,56.40451068,9.451555908,1.4
30-01-1990,21.4,14.3,30,48.6795894,5.97206246,0
31-01-1990,22.4,14.4,,49.34034023,7.97118418,0
01-02-1990,22.4,13.5,31.6,64.45068696,10.1064984,1.22
02-02-1990,22.4,14.5,31.9,62.42453711,10.02554877,8.32
03-02-1990,21.7,,29.9,50.21301706,5.103355331,1.9
04-02-1990,22.8,,30.5,53.50505671,14.88663879,0
05-02-1990,22.9,14,31.3,56.79436872,8.750048269,0
06-02-1990,22.3,15.9,29.7,52.28744488,6.577210353,0
07-02-1990,20.2,12.5,27.3,61.67408598,7.266341591,7.53
08-02-1990,22.3,16.9,28,59.68910868,13.57219157,0
09-02-1990,22.8,,28.3,54.73233862,7.006827231,3.72
10-02-1990,22.6,,,49.89593979,10.36501224,0
11-02-1990,22.9,17.9,28.5,53.71134258,9.962159451,1.78
12-02-1990,23.2,17,29.5,54.88181706,8.544470907,3.38
13-02-1990,23.1,,,48.36438218,13.36239726,0
14-02-1990,24.8,16.8,30.6,57.92659218,11.56871973,0
15-02-1990,24.7,19.4,31.5,64.58072933,13.62577874,5.98
16-02-1990,25.8,20.6,31.5,53.10765358,5.527099921,3.95
17-02-1990,25.2,18.9,33.4,45.21135448,14.8341048,3.37
18-02-1990,23.9,18.8,32.6,61.74866394,6.098463341,3.36
19-02-1990,26.3,18.8,32.3,64.69515658,10.68141749,2.38
20-02-1990,24.8,18.8,31,45.57224202,5.266408208,7.05
21-02-1990,24.1,17.8,31,58.54241382,14.85055867,1.13
22-02-1990,24.3,16.4,31.9,60.03882533,14.30560535,2.73
23-02-1990,26.1,17.9,32.2,51.83397796,11.57584555,0
24-02-1990,25.6,18.8,31.5,46.87128896,7.054807744,0
25-02-1990,25,18.6,31.5,60.34511776,11.41926102,0
26-02-1990,25.2,19,,50.16158899,10.3789632,4.82
27-02-1990,23.6,18.6,29.5,58.91876173,12.35014378,0
