time,tavg,tmin,tmax,Humidity,WindSpeed,Precipitation
01-01-1990,20.1,,28,64.65774964,14.44767569,12.46
02-01-1990,20.7,16.4,,63.25261914,9.531746498,3.7
03-01-1990,20.7,16,27.4,70.34052986,7.275053484,0
04-01-1990,18.8,,28,55.0352779,14.22287679,4.03
05-01-1990,19.8,11,28.2,73.64548615,14.24109615,7.47
06-01-1990,22.2,12.5,,72.26230785,5.413490475,4.23
07-01-1990,20.8,,,69.90888746,10.92614394,0.97
08-01-1990,20.3,13.6,29.5,61.23929356,9.189153803,2.62
09-01-1990,22.3,14.8,31.6,56.81836078,13.84085828,9.46
10-01-1990,21.6,14.5,30.8,71.7165131,12.56614316,5.37
11-01-1990,21.7,15.6,30.7,62.28085094,10.29582282,10.37
12-01-1990,21.2,12.8,29.3,67.13079234,7.202137099,8.44
13-01-1990,22.6,,29.5,57.46635031,9.148769104,2.03
14-01-1990,24.9,14,32.1,63.02342309,9.553929516,7.2
15-01-1990,24.7,15.5,33.4,60.93475678,8.080960617,10.52
16-01-1990,23.4,15.6,31.3,61.1802598,12.66527831,3.75
17-01-1990,19.7,15,,63.43926403,11.41744624,6.37
18-01-1990,29.5,,34.1,61.84503654,14.69283297,0
19-01-1990,24.2,16.2,33.4,60.63942055,13.90699426,0.79
20-01-1990,26.4,15.4,34,58.16461045,9.552770139,2.26
21-01-1990,25.1,17,32.1,73.73025088,12.39117479,0
22-01-1990,25.3,17.7,32.9,59.9592436,12.53955453,3.66
23-01-1990,24.9,17.3,33.6,61.98444958,8.919603496,11.48
24-01-1990,25.8,,32.7,73.93954515,14.87281389,4.55
25-01-1990,25.4,18.4,33,69.86155385,5.000774413,9.69
26-01-1990,25.1,18.8,32.3,73.20168499,12.28201002,6.55
27-01-1990,24.3,14.2,33,63.89100337,7.011198836,11.6
28-01-1990,22.3,15,33,69.00289687,7.469277697,2.69
29-01-1990,22.4,15.8,,69.17765326,11.08811597,0
30-01-1990,26.6,17,35,72.9623754,7.363537079,6.91
31-01-1990,25.1,17.4,34.4,55.0112009,11.00907414,0
01-02-1990,25.6,17.4,34,67.38190999,13.36096804,5.98
02-02-1990,26.8,,33.5,72.60835887,12.48452939,0
03-02-1990,26.5,,32.5,61.90962747,5.61546217,0
04-02-1990,25.4,19.7,34,65.10775009,11.4114807,4.75
