time,tavg,tmin,tmax,Humidity,WindSpeed,Precipitation
01-01-1990,25.2,22.8,28.4,76.85964761,9.450265899,1.23
02-01-1990,24.9,21.7,29.1,74.69888143,6.044186842,2.46
03-01-1990,25.6,21.4,29.8,61.29522621,5.545091992,0
04-01-1990,25.7,,28.7,65.66857339,12.49348391,2.33
05-01-1990,25.5,20.7,28.4,79.05751344,7.563075143,0
06-01-1990,24.7,,26.1,67.30312027,13.04299549,0
07-01-1990,25.4,23.3,27,68.23282889,13.09019371,0
08-01-1990,25.6,22,28,70.67960314,13.28385314,4.23
09-01-1990,24.8,21.7,28.5,71.88792175,12.24638789,4.76
10-01-1990,24.7,20.7,29,63.2983305,8.288141627,4.9
11-01-1990,24.5,20,28.8,73.78516778,14.37767036,0
12-01-1990,23.8,18,29.4,72.15574213,11.21331572,1.97
13-01-1990,23.1,17.1,31.3,67.78318528,5.274510559,1.02
14-01-1990,23.9,17.5,31.8,73.98389116,14.4786756,0
15-01-1990,23.3,17.4,30.5,64.58083248,9.289557055,2.08
16-01-1990,23.3,18,29.8,72.82403211,5.957319815,0.75
17-01-1990,23.4,,28.9,70.96313739,7.305337922,4.56
18-01-1990,22.6,18.2,30.2,60.94134387,7.744460575,2.41
19-01-1990,23,17.2,30.4,71.89603518,7.743033599,0
20-01-1990,23.1,16.9,33.3,62.53974059,12.94035954,6.63
21-01-1990,24.2,17,32.9,69.96893421,5.820105857,0
22-01-1990,23.1,18.4,30.7,65.64012117,7.385400737,1.68
23-01-1990,24.2,20.4,29.6,72.72906949,7.563465725,0
24-01-1990,24.3,19.5,29.5,73.13093425,11.0637116,0
25-01-1990,24.8,20.1,30.9,63.00613647,13.55155822,4.62
26-01-1990,24.5,19.9,29.7,78.72125753,6.961116218,0
27-01-1990,24.1,19.9,29.6,65.99707085,7.867004641,0
28-01-1990,24.1,19.1,29.4,77.98532541,11.62586606,13.91
29-01-1990,23.9,20.2,,75.19724174,7.622420715,0
30-01-1990,23.5,20.1,30.1,63.97726077,13.19718872,10.25
31-01-1990,23.7,,29.8,75.34751793,7.030708177,1.14
01-02-1990,23.8,18.6,30,69.64935272,13.94086606,0
02-02-1990,24.6,19.1,29.6,77.44842875,5.150314597,4.83
03-02-1990,23.9,19.4,30.1,60.56596988,5.564634135,8.68
04-02-1990,24.3,,,64.51657047,14.34412111,0
05-02-1990,25.3,18.9,,78.99222823,14.77939129,0
06-02-1990,24.3,19.8,30,68.3909655,10.80798238,6.23
07-02-1990,24.9,20.8,29.9,76.5918271,13.583909,3.44
08-02-1990,25.8,22,30.3,71.02628999,7.643738657,7.51
09-02-1990,26.1,21.8,30.7,67.28059856,10.58333431,4.58
10-02-1990,26.8,22.4,30.9,72.56239466,5.014175261,11.04
11-02-1990,26.6,22.9,31,76.40490512,14.48018368,2.89
12-02-1990,26.7,22.8,31.3,68.96303201,14.68041813,3.11
13-02-1990,26.3,,,73.23336771,6.626970758,3.61
14-02-1990,26.3,22.4,31.4,77.52370292,6.706215553,1.29
15-02-1990,27.9,,,62.77872756,9.716469116,6.24
