time,tavg,tmin,tmax,Humidity,WindSpeed,Precipitation
01-01-1990,9.4,6,15.1,30.70230062,9.904073991,0
02-01-1990,9.3,5.2,14.2,30.55146706,7.476190484,2.1
03-01-1990,9,6.5,13.6,30.00350093,7.185391445,1.38
04-01-1990,10.7,6,17.5,27.97971768,8.229956875,0
05-01-1990,12.6,7.3,20.8,28.08565292,7.418963599,1.09
06-01-1990,14.9,8.1,22.9,35.99319691,9.6158935,0
07-01-1990,14.4,8.1,21.4,23.38853374,6.206731924,0
08-01-1990,10.7,8.5,16.6,37.1182751,9.013018502,1.43
09-01-1990,13.4,7,20.6,22.09873699,9.101149674,0.48
10-01-1990,16.6,,22.8,26.01690921,5.806066333,0
11-01-1990,17,10.9,25.3,38.03201429,7.81077016,0
12-01-1990,17.7,9.8,,38.24893563,3.381666758,0
13-01-1990,17.2,8.8,27.7,31.52247722,7.02510578,0
14-01-1990,16.6,10.8,23.9,31.79030036,3.967397704,1.66
15-01-1990,14.4,,23.1,32.92292121,8.637357081,0
16-01-1990,14.8,7.3,23.9,39.1840707,9.073787744,0.84
17-01-1990,17.8,10.2,26.2,20.39403378,8.976953232,0.53
18-01-1990,19.4,13.1,27.6,31.98653188,8.396720856,0.57
19-01-1990,19.1,12.1,25.8,30.99233884,3.203573682,2.55
20-01-1990,20,13.8,26.6,38.92716151,9.87308625,0.09
21-01-1990,18.8,12.5,27,21.45702639,5.841720341,2.32
22-01-1990,19.6,12.2,28,24.88543899,5.937393054,0
23-01-1990,17.8,12.4,,35.21239503,5.891168964,2.72
24-01-1990,16.6,,25.3,35.65222377,4.499405015,0
25-01-1990,17.7,,26.1,35.24554743,8.843401165,0
26-01-1990,19.2,9.7,28.8,35.1738569,9.742658789,0
27-01-1990,20,13.3,26.1,37.44807787,6.220152559,2.67
28-01-1990,18.4,,25.6,34.28316056,8.353144825,0
29-01-1990,15.2,9.5,21.7,27.34117787,9.373195175,0
30-01-1990,15.5,10.1,22.1,35.43309071,9.868266108,0
31-01-1990,17.1,9.3,25.2,26.10859738,9.824898814,1.01
01-02-1990,17.9,,24.3,22.82051786,6.484784049,1.99
02-02-1990,13.2,,21.2,30.83595411,4.202123763,3.91
03-02-1990,14.5,7.3,21.5,30.71035836,7.260758355,5.3
04-02-1990,15.8,8.8,23.7,31.33304259,4.684354262,1.8
05-02-1990,15.8,8.8,,26.14547197,6.846189107,1.23
06-02-1990,14.7,9.7,,22.17572828,4.207143333,0
07-02-1990,18.4,12.8,25.1,34.12612884,3.599163268,4.32
08-02-1990,19.7,,24.7,27.86832109,9.829769425,0.93
09-02-1990,20.3,14.1,26.5,26.13348289,8.424973965,0
10-02-1990,18.7,14,26.9,38.33889456,5.65914168,1.28
11-02-1990,18.2,11.5,23.1,37.01840307,7.464908766,0
12-02-1990,17.1,15,21.1,36.99362457,5.439276989,0
13-02-1990,16.2,,18.9,22.78522267,9.382047642,1.64
14-02-1990,14.3,,19.3,38.09850233,4.420925473,3.18
15-02-1990,14.6,9.5,20.9,34.49412969,5.415284867,1.61
16-02-1990,14.6,8.8,21.7,28.90429839,5.864967026,0.49
17-02-1990,15.9,8.4,21.9,37.93866146,4.979498541,0.53
18-02-1990,13.9,12.1,16.8,29.56625949,9.347689601,0.84
19-02-1990,15.1,13.1,19.5,20.68473574,8.775285478,0.78
20-02-1990,15.7,10.5,22.1,34.07697387,7.674618864,0.38
21-02-1990,17.1,11.4,23.6,36.48508113,8.558473764,0.55
22-02-1990,16.7,10.9,24,27.91678763,9.858672651,3.61
