time,tavg,tmin,tmax,Humidity,WindSpeed,Precipitation
01-01-1990,22.9,19.1,28.4,25.01790657,15.98,1.49
02-01-1990,21.7,,26.5,23.60374386,19.3,0.22
03-01-1990,21,16.4,26.5,29.14354309,17.06,1.8
04-01-1990,20.8,,27.4,28.18205611,15.9,3.55
05-01-1990,20.4,14.2,26.1,27.30098962,13.47,0.03
06-01-1990,20.4,17.1,24.2,29.77912415,17.92,0.03
07-01-1990,18.8,,20.5,22.32815987,13.75,3.66
08-01-1990,20,16.6,25.1,32.43181022,22.84,2.03
09-01-1990,21,15.5,,28.79794554,24.27,0
10-01-1990,21.2,15,27.7,35.05452188,12.67,1.59
11-01-1990,21.8,16,28.5,23.29661737,20.83,0
12-01-1990,21.1,13.2,,25.24371969,15.58,0
13-01-1990,18.8,11.2,27.2,26.32438075,16.36,0.98
14-01-1990,19.8,11.5,29,33.19053901,23.51,0
15-01-1990,21,11.5,30.3,20.76509984,6.42,0
16-01-1990,22.1,12.6,29.7,20.90093906,6.74,0
17-01-1990,23.8,,29,25.44366282,5.4,0
18-01-1990,20.1,13.8,,24.25559733,21.65,1.13
19-01-1990,21.3,12.2,30.7,27.33399646,20.56,0
20-01-1990,20.3,13,30.7,29.91664301,22.4,0
21-01-1990,23.8,,,22.18124442,24.57,3.43
22-01-1990,22.2,13.2,30.4,26.20840404,20.98,0.05
23-01-1990,20.7,14.7,,37.84876661,14.23,0.64
24-01-1990,21.5,14.5,29,35.50753541,20.61,0
25-01-1990,22.7,15.4,30.7,21.50574351,7.37,0
26-01-1990,22.7,14,30.4,24.09681697,17.8,0.72
27-01-1990,21.2,14.8,29.4,37.53046625,7.87,0
28-01-1990,19.2,14,29.7,38.35585049,23.89,1.25
29-01-1990,20.9,13.9,28.5,31.62681275,15.44,0
30-01-1990,21.4,14.3,30,33.35698359,13.29,0
31-01-1990,22.4,14.4,,31.59064128,10.29,0
01-02-1990,22.4,13.5,31.6,34.04491229,20.48,4.2
02-02-1990,22.4,14.5,31.9,39.51284194,14.12,0.47
03-02-1990,21.7,,29.9,33.91139114,16.37,0
04-02-1990,22.8,,30.5,27.02051777,5.38,2.15
05-02-1990,22.9,14,31.3,22.42073526,17.35,0
06-02-1990,22.3,15.9,29.7,38.00619219,17.24,0.92
07-02-1990,20.2,12.5,27.3,20.44892522,17.34,0
08-02-1990,22.3,16.9,28,36.23537072,23.87,0
09-02-1990,22.8,,28.3,28.83063213,18.64,0.89
10-02-1990,22.6,,,30.47786188,12.19,1.98
11-02-1990,22.9,17.9,28.5,34.23349145,13.74,0.84
12-02-1990,23.2,17,29.5,21.60144868,18.95,0.27
13-02-1990,23.1,,,27.7823019,6.2,0
14-02-1990,24.8,16.8,30.6,20.72371649,18.34,0
15-02-1990,24.7,19.4,31.5,37.46599803,18.41,0
16-02-1990,25.8,20.6,31.5,25.02351795,9.21,0
17-02-1990,25.2,18.9,33.4,36.28089395,7.58,2.61
18-02-1990,23.9,18.8,32.6,32.76866426,11.31,1.19
19-02-1990,26.3,18.8,32.3,32.8781599,12.27,0
20-02-1990,24.8,18.8,31,33.54487154,16.4,1.15
21-02-1990,24.1,17.8,31,21.12433022,13.77,0
22-02-1990,24.3,16.4,31.9,31.00785257,24.77,0
23-02-1990,26.1,17.9,32.2,31.72840294,7.04,1.72
24-02-1990,25.6,18.8,31.5,38.66068802,9.18,2.56
25-02-1990,25,18.6,31.5,24.49861349,8.23,2.36
26-02-1990,25.2,19,,23.95608453,18.06,0
27-02-1990,23.6,18.6,29.5,35.15151407,10.07,0
28-02-1990,27.4,20.1,,27.44671267,14.33,1.16
01-03-1990,26,21.4,31.5,19.1904848,9.89,2.45
02-03-1990,27.1,21,33.6,17.5369195,8.18,0
03-03-1990,25.9,20.9,31.6,29.00384466,7.21,0.13
04-03-1990,27.1,,31.5,19.23459638,18.13,0
05-03-1990,26.4,21,32.7,23.98680586,7.76,0
06-03-1990,27.6,,32.7,28.35554379,8.93,2.13
07-03-1990,26.7,21.8,32.4,18.89062543,12.37,3.21
08-03-1990,26.2,21.4,33.7,18.12406865,21.42,0.36
09-03-1990,26.3,20.5,31.5,29.56372647,6.94,2.51
10-03-1990,21.6,20.1,26.7,19.90116356,21.76,1.22
11-03-1990,23.1,20,28.5,22.95629801,6.92,0
12-03-1990,25.3,20,31.3,28.11801575,24.53,1.22
13-03-1990,26.4,21.5,32.7,25.67961461,14.37,3.58
14-03-1990,25.8,20.5,33.5,25.32513058,24.54,0.43
15-03-1990,28.1,21,34.6,15.92647513,17.1,3.63
16-03-1990,25.7,,32.5,16.98766508,19.79,0
17-03-1990,24.8,19,,25.25082191,5.78,2.14
18-03-1990,24.3,18.4,30.9,15.91838236,10.66,0.67
19-03-1990,26.2,18,32,21.42585423,7.4,0
20-03-1990,25.8,19.1,32.5,10.49108513,10.92,0.68
21-03-1990,26.9,20.3,33.5,14.67348213,7.37,0
22-03-1990,27.5,21.5,34.8,11.07394467,11.36,0.06
23-03-1990,27.8,22.1,33.8,28.50605172,13.29,1.21
24-03-1990,27.1,,,17.1901538,6.28,3.46
25-03-1990,27.6,,34.5,12.05049216,18.85,0
26-03-1990,26.9,21,33.9,25.32842598,16.33,0
27-03-1990,27.1,21,34,29.42870213,10.31,0
28-03-1990,28.8,,34.3,19.66281953,15.46,2.33
