time,tavg,tmin,tmax,Humidity,WindSpeed,Precipitation
01-01-1990,7.2,,18.1,27.35385014,8.490873322,3.99
02-01-1990,10.5,,17.2,39.89137729,9.969118626,6.89
03-01-1990,10.2,1.8,18.6,33.70796461,4.211479115,0.49
04-01-1990,9.1,,19.3,41.0369786,8.662857567,5.26
05-01-1990,13.5,,23.8,28.97865159,9.459099374,0
06-01-1990,11.5,5.9,21.4,32.27926305,9.451163845,0.72
07-01-1990,14.2,5.4,23.6,28.22852591,8.918673432,0
08-01-1990,17.1,,24.6,35.0260138,7.259160415,0.06
09-01-1990,11.1,,24.6,43.40623463,8.292098391,3.15
10-01-1990,14.8,4.1,23.6,26.36347495,5.604052181,4.36
11-01-1990,12.9,5.1,23.6,44.40302293,5.075296871,0
12-01-1990,12.5,7.3,21.1,36.20574171,8.423956792,2.37
13-01-1990,15.3,,,26.16765643,5.174676199,4.69
14-01-1990,17.3,6.9,28.2,39.32498649,6.525812457,4.26
15-01-1990,16.5,9,24.9,28.72557751,6.043500424,1.78
16-01-1990,15.8,,24.9,39.97935579,7.904556934,0
17-01-1990,17.6,,26.9,30.35110342,9.410169437,0
18-01-1990,19.9,13,29.5,38.14112574,8.294963792,0
19-01-1990,20.5,13,29.5,43.31988453,4.228344922,0.91
20-01-1990,17.5,10.7,28.7,41.88399626,9.027619894,0
21-01-1990,18.6,,26.4,28.59786927,9.02436073,3.03
22-01-1990,20,10.8,28.3,35.60003938,8.963441248,1.69
23-01-1990,18.8,13.2,28.9,29.05571215,9.065229119,1.55
24-01-1990,18.4,,28.9,30.98090579,5.136218025,0
25-01-1990,18.9,,26.2,42.84355577,5.782178198,1.08
26-01-1990,18.9,,27.9,38.9211214,4.625098255,0
27-01-1990,18.9,9.8,29.9,30.29333056,5.997602831,7.5
28-01-1990,20.7,,28.8,36.4376057,8.949158315,0
29-01-1990,21.4,,28.8,27.24431365,6.079885408,0.38
30-01-1990,15.6,,26.2,27.02931654,4.015535417,2.15
31-01-1990,17.1,10,26.2,30.71513263,7.098584281,0
01-02-1990,17.5,,27.7,30.40227706,3.544110617,6.78
02-02-1990,15.2,,27.7,33.16732782,9.143378675,6.85
03-02-1990,,,,36.84124596,4.994392415,0
04-02-1990,17.4,,24.6,32.88580658,3.327294447,0
05-02-1990,16.2,9.2,,32.84639089,9.514187342,7.44
06-02-1990,15.2,,,26.33875213,9.401461948,5.19
07-02-1990,20.7,10.1,25.9,43.06243901,5.162271808,0
08-02-1990,20.7,12.9,26.1,34.59195198,5.96020608,2.29
09-02-1990,20.3,,27.8,36.49130717,6.718358107,0
10-02-1990,19.9,,27.8,35.96702687,5.74886012,7.59
11-02-1990,20.7,13,29,31.56788487,6.594343084,1.22
12-02-1990,20,12.8,27.9,28.10148424,3.524237959,2.76
13-02-1990,17,,19.7,28.58738534,7.490763822,0
14-02-1990,18,,23.4,39.86171433,9.214098883,0
15-02-1990,16.8,10.5,24.1,37.7531446,3.269620306,2.35
16-02-1990,16.6,10.1,23.8,33.76499168,6.898984805,6.75
17-02-1990,17.5,8.3,25.3,37.78055792,5.760755038,0
18-02-1990,16,13.2,25.3,37.2367426,6.774444096,0
19-02-1990,17.1,12.1,23.7,26.25073858,4.945576985,1.92
20-02-1990,17.3,11.5,,35.26426175,5.698494879,5.91
21-02-1990,17.5,10.4,24.9,31.69926351,7.862727757,0
