time,tavg,tmin,tmax,Humidity,WindSpeed,Precipitation
01-01-1990,23.2,17,,69.27264132,12.20271228,0.61
02-01-1990,22.2,16.5,29.9,71.2499774,12.33106166,0
03-01-1990,21.8,16.3,30.7,66.14937164,6.384035549,0
04-01-1990,25.4,17.9,31.8,77.53382378,10.59184976,0
05-01-1990,26.5,19.3,33.7,61.60041202,5.928163137,0.09
06-01-1990,25.1,19.8,33.5,76.82294353,7.173443526,0
07-01-1990,26,18.9,33.7,74.45391773,9.87717195,1.84
08-01-1990,26.6,18.8,34.6,60.34644569,7.778518592,1.52
09-01-1990,25.1,19,34.4,79.36313825,14.12256373,0.92
10-01-1990,26.8,19.3,34.7,60.94914644,13.24599962,0.23
11-01-1990,25.6,18.5,34,70.48644116,12.51019122,1.34
12-01-1990,24.3,17.5,35,73.71028034,12.98495977,0.3
13-01-1990,22.4,16.5,34.4,73.25505509,13.10385106,0.36
14-01-1990,25.4,16.3,,60.42763488,7.025561175,0
15-01-1990,23.7,15,32.4,71.6399803,7.720809961,0.46
16-01-1990,24,15.8,33.5,71.87696824,10.0221203,0
17-01-1990,24.8,16.7,34.1,75.67331014,5.243862042,0
18-01-1990,23.8,16.3,34.8,71.10727016,11.66432471,0.37
19-01-1990,25.5,17.5,35.2,77.20036095,6.310209993,0
20-01-1990,25.2,16,34.4,61.93591634,9.649648407,0.68
21-01-1990,25.4,,32.7,77.30895284,7.851738043,1.25
22-01-1990,25.8,17,35.3,69.44235904,6.067971051,0
23-01-1990,26.4,18,36,74.94620347,7.297804812,0.32
24-01-1990,26.1,18.2,36,71.7560443,5.49402094,0
25-01-1990,25.5,18.6,37.1,66.97061593,13.77741238,0
26-01-1990,25.9,18.7,,65.98321794,7.960667236,0.51
27-01-1990,25.2,16.9,32.7,60.03406791,14.38679083,0.91
28-01-1990,24.1,17.5,31.2,75.39114152,6.502974269,0
29-01-1990,23.8,15,32.6,70.12328997,14.98959788,2.25
30-01-1990,24.2,17,35.2,71.30244154,9.302771421,0
31-01-1990,24.3,10.5,32.8,65.75268995,5.642937679,0.41
01-02-1990,24.2,17.5,31.1,60.46056265,6.927933295,0
02-02-1990,23.2,16,31.1,79.00429627,12.07479512,0
03-02-1990,24.8,15.4,32.6,62.33128076,9.836463782,1.72
04-02-1990,23.8,15.7,33.3,61.63227354,6.822311343,1.71
